Week_Start_Date,Units_Sold_MT,Unit_Price_PKR_per_MT,Promotion_Flag,Notes
2024-09-02,39650,89600,0,
2024-09-09,52950,90200,1,Early-booking dealer incentive
2024-09-16,43850,90100,0,
2024-09-23,48500,90000,0,
2024-09-30,46050,90250,0,
2024-10-07,48200,90000,0,
2024-10-14,55550,89400,0,
2024-10-21,54500,89750,0,Rabi sowing peak (wheat)
2024-10-28,51300,90400,0,Rabi sowing peak (wheat)
2024-11-04,54500,90350,0,Rabi sowing peak (wheat)
2024-11-11,50550,89900,0,
2024-11-18,49200,90150,0,
2024-11-25,49400,90850,0,
2024-12-02,41200,90000,0,
2024-12-09,39700,90000,0,
2024-12-16,40700,90050,0,
2024-12-23,37750,90200,0,
2024-12-30,39300,89900,0,
2025-01-06,35400,90200,0,
2025-01-13,33300,89400,0,
2025-01-20,29100,90100,0,Plant turnaround/maintenance - reduced output
2025-01-27,25987,90000,0,Plant turnaround/maintenance - reduced output
2025-02-03,26212,89950,0,Plant turnaround/maintenance - reduced output
2025-02-10,31700,89850,0,
2025-02-17,33450,89800,0,
2025-02-24,34900,89750,0,
2025-03-03,32500,89300,0,
2025-03-10,30727,89900,0,Eid week - reduced dealer activity
2025-03-17,40350,90350,1,Early-booking dealer incentive
2025-03-24,36450,89900,0,
2025-03-31,37000,90200,0,
2025-04-07,44250,89700,0,
2025-04-14,41200,89600,0,
2025-04-21,39700,89750,0,Kharif sowing peak (cotton/rice)
2025-04-28,45100,89700,0,Kharif sowing peak (cotton/rice)
2025-05-05,39800,89650,0,Kharif sowing peak (cotton/rice)
2025-05-12,42850,94750,0,Kharif sowing peak (cotton/rice); Price increase announced
2025-05-19,36300,94400,0,
2025-05-26,36550,94100,0,
2025-06-02,38750,94750,0,
2025-06-09,38750,94150,0,
2025-06-16,36500,94450,0,
2025-06-23,35250,94400,0,
2025-06-30,34450,94700,0,
2025-07-07,31800,94450,0,Monsoon logistics disruption
2025-07-14,33350,94600,0,
2025-07-21,33950,94150,0,
2025-07-28,37300,95200,0,
2025-08-04,36100,94250,0,
2025-08-11,32100,95000,0,
2025-08-18,37300,94650,0,
2025-08-25,36700,94650,0,
2025-09-01,37300,94750,0,
2025-09-08,47700,97350,1,Early-booking dealer incentive; Price increase announced
2025-09-15,55150,97800,1,Early-booking dealer incentive
2025-09-22,63500,98150,1,Early-booking dealer incentive
2025-09-29,44600,103200,0,Price increase announced
2025-10-06,48350,102800,0,
2025-10-13,52300,102750,0,
2025-10-20,55900,102450,0,
2025-10-27,52200,102600,0,Rabi sowing peak (wheat)
2025-11-03,53300,103000,0,Rabi sowing peak (wheat)
2025-11-10,49800,102450,0,Rabi sowing peak (wheat)
2025-11-17,48350,102250,0,
2025-11-24,52750,102600,0,
2025-12-01,52050,103100,0,
2025-12-08,45650,103400,0,
2025-12-15,46200,102650,0,
2025-12-22,42450,102400,0,
2025-12-29,38250,102750,0,
2026-01-05,39200,102900,0,
2026-01-12,40700,103000,0,
2026-01-19,36400,103500,0,
2026-01-26,39300,102900,0,
2026-02-02,29950,103350,0,
2026-02-09,37100,102700,0,
2026-02-16,35500,102900,0,
2026-02-23,34700,102650,0,
2026-03-02,35750,102650,0,
2026-03-09,31280,102750,1,Early-booking dealer incentive; Eid week - reduced dealer activity
2026-03-16,45900,102750,1,Early-booking dealer incentive
2026-03-23,38500,102650,0,
2026-03-30,42400,102700,0,
2026-04-06,39150,103200,0,
2026-04-13,39850,103500,0,
2026-04-20,41800,102700,0,Kharif sowing peak (cotton/rice)
2026-04-27,46200,102750,0,Kharif sowing peak (cotton/rice)
2026-05-04,44750,103000,0,Kharif sowing peak (cotton/rice)
2026-05-11,41900,103800,0,Kharif sowing peak (cotton/rice)
2026-05-18,43450,102900,0,
2026-05-25,41000,103150,0,
2026-06-01,41550,103300,0,
2026-06-08,36400,102950,0,
2026-06-15,36250,103150,0,
2026-06-22,35400,103050,0,
2026-06-29,32700,103150,0,
2026-07-06,36250,102550,0,
2026-07-13,36100,107450,0,Price increase announced
2026-07-20,35600,107500,0,Monsoon logistics disruption
2026-07-27,35250,107700,0,
2026-08-03,33000,107550,0,
2026-08-10,35600,107700,0,
2026-08-17,36400,107200,0,
2026-08-24,36300,107100,0,
